节点50Ce-100Ag-dmac-trans-cv_Trend67__0__15-08-06-102.txt的数据

Standard Time	Epoch Time		Value
HH:MM:SS:000	(自1970-01-01的毫秒数)
15:13:00.891	1729149180891	2.49
15:13:01.445	1729149181445	2.58
15:13:01.999	1729149181999	2.72
15:13:02.553	1729149182553	2.9
15:13:03.110	1729149183110	3.11
15:13:03.663	1729149183663	3.41
15:13:04.219	1729149184219	3.79
15:13:04.772	1729149184772	4.25
15:13:05.326	1729149185326	4.9
15:13:05.879	1729149185879	5.75
15:13:06.432	1729149186432	6.88
15:13:06.985	1729149186985	8.3
15:13:07.540	1729149187540	10.2
15:13:08.096	1729149188096	12.54
15:13:08.650	1729149188650	15.36
15:13:09.205	1729149189205	18.37
15:13:09.760	1729149189760	21.2
15:13:10.315	1729149190315	23.55
15:13:10.868	1729149190868	25.22
15:13:11.421	1729149191421	26.58
15:13:11.975	1729149191975	27.64
15:13:12.529	1729149192529	28.63
15:13:13.085	1729149193085	29.4
15:13:13.640	1729149193640	30.3
15:13:14.195	1729149194195	31.18
15:13:14.750	1729149194750	32
15:13:15.305	1729149195305	32.81
15:13:15.859	1729149195859	33.7
15:13:16.413	1729149196413	34.52
15:13:16.968	1729149196968	35.32
15:13:17.523	1729149197523	36.12
15:13:18.078	1729149198078	36.9
15:13:18.632	1729149198632	37.75
15:13:19.187	1729149199187	38.61
15:13:19.740	1729149199740	39.48
15:13:20.295	1729149200295	40.26
15:13:20.850	1729149200850	41.11
15:13:21.404	1729149201404	41.73
15:13:21.959	1729149201959	42.35
15:13:22.515	1729149202515	42.92
15:13:23.070	1729149203070	43.41
15:13:23.624	1729149203624	43.88
15:13:24.179	1729149204179	44.43
15:13:24.733	1729149204733	44.86
15:13:25.286	1729149205286	45.36
15:13:25.841	1729149205841	45.82
15:13:26.396	1729149206396	46.37
15:13:26.951	1729149206951	46.9
15:13:27.504	1729149207504	47.35
15:13:28.060	1729149208060	47.92
15:13:28.614	1729149208614	48.44
15:13:29.168	1729149209168	48.83
15:13:29.722	1729149209722	49.38
15:13:30.276	1729149210276	49.96
15:13:30.830	1729149210830	50.42
15:13:31.385	1729149211385	50.91
15:13:31.938	1729149211938	51.27
15:13:32.493	1729149212493	51.73
15:13:33.049	1729149213049	52.08
15:13:33.603	1729149213603	52.55
15:13:34.157	1729149214157	52.99
15:13:34.711	1729149214711	53.32
15:13:35.266	1729149215266	53.77
15:13:35.821	1729149215821	54.06
15:13:36.374	1729149216374	54.41
15:13:36.927	1729149216927	54.69
15:13:37.481	1729149217481	55.12
15:13:38.037	1729149218037	55.28
15:13:38.591	1729149218591	55.67
15:13:39.146	1729149219146	55.97
15:13:39.700	1729149219700	56.25
15:13:40.253	1729149220253	56.5
15:13:40.808	1729149220808	56.8
15:13:41.361	1729149221361	57.06
15:13:41.915	1729149221915	57.34
15:13:42.470	1729149222470	57.54
15:13:43.026	1729149223026	57.93
15:13:43.580	1729149223580	58.24
15:13:44.134	1729149224134	58.39
15:13:44.689	1729149224689	58.66
15:13:45.244	1729149225244	58.86
15:13:45.798	1729149225798	59.07
15:13:46.353	1729149226353	59.34
15:13:46.908	1729149226908	59.53
15:13:47.464	1729149227464	59.65
15:13:48.018	1729149228018	59.99
15:13:48.572	1729149228572	60.15
15:13:49.125	1729149229125	60.39
15:13:49.680	1729149229680	60.57
15:13:50.235	1729149230235	60.76
15:13:50.791	1729149230791	61
15:13:51.345	1729149231345	61.07
15:13:51.900	1729149231900	61.31
15:13:52.453	1729149232453	61.44
15:13:53.008	1729149233008	61.65
15:13:53.562	1729149233562	61.75
15:13:54.116	1729149234116	61.99
15:13:54.671	1729149234671	62.16
15:13:55.226	1729149235226	62.23
15:13:55.781	1729149235781	62.33
15:13:56.335	1729149236335	62.51
15:13:56.889	1729149236889	62.76
15:13:57.443	1729149237443	62.73
15:13:57.999	1729149237999	62.98
15:13:58.553	1729149238553	63.15
15:13:59.107	1729149239107	63.2
15:13:59.661	1729149239661	63.3
15:14:00.216	1729149240216	63.39
15:14:00.769	1729149240769	63.52
15:14:01.324	1729149241324	63.7
15:14:01.878	1729149241878	63.81
15:14:02.433	1729149242433	63.97
15:14:02.985	1729149242985	63.98
15:14:03.540	1729149243540	64.14
15:14:04.093	1729149244093	64.19
15:14:04.648	1729149244648	64.26
15:14:05.202	1729149245202	64.38
15:14:05.755	1729149245755	64.42
15:14:06.310	1729149246310	64.54
15:14:06.864	1729149246864	64.66
15:14:07.418	1729149247418	64.74
15:14:07.973	1729149247973	64.8
15:14:08.528	1729149248528	64.91
15:14:09.082	1729149249082	65
15:14:09.638	1729149249638	65.15
15:14:10.193	1729149250193	65.16
15:14:10.747	1729149250747	65.26
15:14:11.301	1729149251301	65.31
15:14:11.856	1729149251856	65.4
15:14:12.413	1729149252413	65.36
15:14:12.968	1729149252968	65.54
15:14:13.523	1729149253523	65.64
15:14:14.078	1729149254078	65.62
